Artist ID,Name,Nationality,Gender,Birth Year,Death Year
140,Jim Amaral,American,Male,1933,
141,Emilio Ambasz,Argentine,Male,1943,
142,M. Ameen,Nationality unknown,,,
143,Irving Amen,American,Male,1918,2011
144,Woody van Amen,Dutch,Male,1936,
145,Gregory Amenoff,American,Male,1948,
148,Florencia de Amesti,Chilean,Female,1925,2006
149,Cuno Amiet,Swiss,Male,1868,1961
150,Francisco Amighetti Ruiz,Costa Rican,Male,1907,1998
152,Ralph Ammirati,American,Male,,
153,Emma Amos,American,Female,1938,
154,Mauricio Amster Cats,Chilean,Male,1907,1980
155,William Anastasi,American,Male,1933,
157,Stephen Ancona,American,Male,1932,
158,Jiþi Anderle,Czech,Male,1936,
159,Gunnar Aagaard Andersen,Danish,Male,1919,1982
160,Karin Schou Andersen,Danish,Female,1953,
161,Clarence William Anderson,American,Male,1891,1971
162,Carl Anderson,American,Male,1903,1989
163,Dennis Anderson,American,Male,1948,
164,Jeremy Anderson,American,Male,1921,1982
165,James Anderson,British,Male,1813,1877
166,Jerry Anderson,American,Male,1938,
167,John Anderson,British,Male,1928,
168,Neil Anderson,American,Male,1933,
169,Paul L. Anderson,American,Male,1880,1956
170,Monika Andersson,Swedish,Female,1957,
172,Joe Andoe,American,Male,1955,
173,Farnese de Andrade-Neto,Brazilian,Male,1926,1996
174,Carl Andre,American,Male,1935,
175,Pat Andrea,Dutch,Male,1942,
176,A. Andreas,French,,,
177,Henning Andreasen,Danish,Male,1923,
178,Laura Andreson,American,Female,1902,1999
179,Mariano Andreù,Spanish,Male,1901,
180,Benny Andrews,American,Male,1930,2006
181,Emmy Andriesse,Dutch,Female,1914,1953
182,Claudia Andujar,American,Female,1931,
183,Manuel Angeles Ortiz,Spanish,Male,1895,1984
184,Ludwig Angerer,Austrian,Male,1827,1879
185,Bruce Angrave,British,Male,,
186,Raúl Anguiano,Mexican,Male,1915,2006
188,Sibyl Anikeef,American,Female,1896,1996
189,James Craig Annan,British,Male,1864,1946
190,Thomas Annan,British,Male,1829,1887
193,David Annesley,British,Male,1936,
194,Horst Antes,German,Male,1936,
195,William Anthony,American,Male,1934,
196,Stephen Antonakos,American,Male,1926,2013
198,Garo Antreasian,American,Male,1922,
199,Nemesio Antúnez,Chilean,Male,1918,1993
200,Richard Anuszkiewicz,American,Male,1930,
